Importance,Molecular Descriptor
0.069366805,RDF065s
0.06827247,Mor09s
0.054261364,RDF025s
0.054218654,B05_N-S_
0.049586397,CATS2D_06_AP
0.045376595,SpMax_L
0.04450549,Mor06m
0.044236656,SpMax_AEA(dm)
0.044186093,SpDiam_AEA(dm)
0.04390227,SpMax1_Bh(p)
0.042473484,B01_N-S_
0.04176293,SpMax_B(p)
0.039835718,SpMax_B(m)
0.03787057,SpDiam_B(m)
0.03376918,Eta_sh_x
0.033684075,CATS3D_06_AP
0.033444244,S-110
0.031172337,F05_N-S_
0.030742893,VE3sign_D
0.030331196,SpDiam_EA(bo)
0.028976964,CATS2D_08_AP
0.025625728,CATS2D_03_PL
0.020245787,SpMin1_Bh(v)
0.01447271,Mor08s
0.0139327925,VE3sign_Dz(i)
0.0124028865,VE1sign_D
0.011343775,nArNH2
