Importance,Molecular Descriptor
0.058375336,Mor12u
0.055927373,LOGP99
0.055105366,ESOL
0.054257188,P_VSA_i_3
0.053251624,MLOGP
0.05185404,Mor21v
0.049664743,ALOGP2
0.046209913,ALOGP
0.0433549,MLOGP2
0.039397318,CATS3D_06_AL
0.039110936,RGyr
0.038921602,CATS2D_08_AL
0.034885123,RDF090m
0.03417995,CATS3D_08_AL
0.033554476,SpMin1_Bh(m)
0.03349443,TDB09m
0.032332428,CATS3D_07_AL
0.022957891,QED
0.022712735,QEDu
0.02156609,Mor12v
0.020705689,Mor27m
0.020135954,SIC0
0.020071981,Mor19u
0.019999249,Mor27u
0.019805465,H-046
0.019760903,CIC1
0.01969032,Mor28u
0.019445935,Mor20m
0.019271044,SpMin1_Bh(s)
