Importance,Molecular Descriptor
2977458580.0433044,Mor03u
2901599637.4468317,GATS5v
2886271730.8693547,SpMAD_B(m)
2872663117.597016,VE3sign_D
2821460229.957179,Mor21m
2819239590.743344,Mor13v
2656873086.159538,WHALES20_Rem
2651583490.7304754,SpPosA_G/D
2603764800.1842346,minsssCH
2500627243.596964,SPAM
2468124902.4201202,Eig02_AEA(dm)
2420849558.0556493,SpMax3_Bh(v)
2410408520.1231823,TDB08u
2335945381.59834,Eta_betaP_A
2302607049.8728347,DBI
2243964423.060268,DLS_03
2205203055.723961,VE3sign_A
2172211419.825394,TDB05p
2161768312.6250772,SpMax4_Bh(s)
2144440883.2269425,E1v
1994333047.1552653,MW
1976137763.9230602,D/Dtr06
1913846035.3932827,WHALES50_Rem
1892212994.3353255,SpMaxA_Coulomb
1857672714.1829274,TDB07u
1821723675.2425396,GATS4v
1815786843.3992796,R2p
1804705146.8944225,Mp
1789493856.227257,nF
1784731302.2917888,Mv
1740032024.429338,HATS5p
1739472287.6767268,piPC06
1708818396.1958954,Dv
1697977937.2234209,E1m
1691652515.9645336,SpPosA_D/Dt
1673564797.8925924,R6e+
1668590128.9515648,Eta_F_A
1654361590.8311288,SpDiam_AEA(dm)
1594062473.0923436,P1u
1538233485.2855306,PW4
1529202985.393246,H1v
1509276443.6441116,SM1_Dz(Z)
1476254331.06743,SM14_AEA(bo)
1474275591.899826,WHALES90_IR
1448378636.520851,Mor26m
1439173804.751906,J_Dz(v)
1429011710.6042175,TDB05i
1413297066.8920672,nDB
1390407751.5748975,HATS1s
1385699686.7768426,H0e
1375378354.875202,VE3sign_B(v)
1368710717.7722394,H1s
1360517319.1174989,RCI
1358286110.789227,P1m
1353799878.4247084,JGI2
1343449221.2634382,Eig05_EA(dm)
1340683037.6278853,HATS3v
1315003633.313494,SpMAD_EA(bo)
1314017972.7680354,P2u
1299174526.3538995,minsCH3
1289441135.9622953,nR09
1288000842.555863,GATS1e
1287018816.7526238,VR2_Dz(Z)
1276555949.580882,SpMin2_Bh(s)
1262455066.3844016,E2p
1261103803.572004,VE2_RG
1254172795.3626058,GATS3i
1251177137.0251577,SM1_Dz(v)
1242198056.9471085,HATS8v
1238636582.8957229,MAXDP
1227104183.3181827,Eig05_AEA(dm)
1220100104.9953318,O%
1188266196.7419097,TDB01p
1177838011.7436175,MATS4e
1177273085.603357,SIC3
1163714430.8328943,Mor16m
1163600791.475332,Mor08s
1161402090.9589703,Xt
1160930457.3120918,H1u
1153743568.4369395,IC2
1144398851.5385032,MATS4v
1130520298.4502656,R2e
1105710055.6424537,Eta_psi1
1097795916.0175385,GATS1v
1093128129.0716827,R3u
1089361388.6931767,PDI
1086642333.0940166,NNRS
1085450223.8093812,SaasC
1082428660.5289013,RDF025s
1082415855.3055513,GATS2i
1082131872.1313274,DISPv
1077644747.4589968,E2m
1076350163.8604932,LLS_01
1074399118.580114,MLOGP
1073988138.9716392,minssCH2
1069217482.0167491,GATS2m
1057965913.4715223,GATS6m
1056777356.4479926,Mor07m
1052650161.965208,Mor32m
1043398751.3381248,VE1sign_Coulomb
1036881860.5855652,HNar
1036863282.7662662,QED
1036450134.6463286,GATS6v
1032008321.1416148,ATS3s
1030703029.9625983,SPP
1025653525.5952506,VE1sign_Dz(p)
1017368468.2508461,J_G/D
1011418282.4320995,TDB01m
1006014719.3990619,Mor06u
1005058648.5806849,P_VSA_ppp_L
991401293.1879021,PBF
976335330.6739485,CIC4
974650401.1876825,Mor13p
967905455.0421611,Mor26s
963093069.7169013,SpMax_B(v)
958492612.0599762,nR05
954899829.2147439,Mor11m
951022325.4440153,GATS3m
950987421.8937618,MATS2v
945518319.8740561,DLS_07
907732996.5314882,VE2sign_A
896042598.3431914,Eig04_AEA(dm)
894728994.125005,VE1_B(m)
888860743.4374579,MATS6v
883419040.4835668,SIC2
883349469.9825778,B02_C-O_
879610589.8609958,Eig11_EA(dm)
877155248.0685794,CIC0
874757809.4652556,R5m
873156973.9351791,Mor24s
862856390.8119407,MATS2e
857164859.4803054,SM07_AEA(dm)
846485466.5377673,VE1sign_G/D
844547788.2806119,VE1_Coulomb
844453019.6981239,R4s
842163813.2127588,Mor04v
841854825.2398431,SpMax2_Bh(s)
838726731.1823328,ARR
836627655.8643095,IDDE
836477887.3260659,R6v
834733546.7707547,Hypnotic-50
834260104.605379,MEcc
829055475.3674138,SpMax1_Bh(p)
812465287.2105031,SpMin1_Bh(v)
801596471.6085292,BLI
797826594.331747,nCbH
787189867.0698234,D/Dtr08
785356824.6366012,Chi_G/D
783535444.0143703,HATS3p
777265448.8298655,CATS2D_02_DA
776981622.9712535,R5e+
776762009.7739372,nR10
775128292.7105782,WHALES20_IR
772168840.0774419,HATS7m
765820500.1231661,Mor21v
760167187.6510705,MATS6p
758875505.9383245,B10_C-O_
750545107.4598174,VE1sign_D
746032212.463323,AAC
744139184.6141168,CATS3D_02_DL
