Importance,Molecular Descriptor
0.020344332,Mor12u
0.018404907,ALOGP2
0.015091337,CATS3D_06_AL
0.014709531,Mor21v
0.014471532,RDF055m
0.014343021,SpMin1_Bh(m)
0.013525553,MLOGP
0.011788319,ALOGP
0.011249632,MLOGP2
0.0110438885,SHED_AA
0.010768906,CATS3D_07_AL
0.010663977,MDEO-11
0.010279722,R7v
0.009815306,F03_C-N_
0.009682019,CATS3D_08_AL
0.009648222,P_VSA_m_3
0.0086552575,Mor22s
0.008538385,SM1_Dz(v)
0.008486111,SpMax2_Bh(s)
0.008256193,P_VSA_v_2
0.008150722,LOGP99
0.007914734,ESOL
0.0075275013,CATS2D_06_AA
0.0074192425,CATS3D_07_LL
0.0073979106,P_VSA_LogP_4
0.0070381155,minsCH3
0.00697184,P_VSA_ppp_N
0.006948467,Mor21u
0.006947204,s4_phRelSize
0.0069002328,B01_C-O_
0.006778078,GGI5
0.0066467063,P_VSA_MR_2
0.0065466757,HTs
0.0065284795,CATS2D_00_AA
0.0064133736,AVS_RG
0.006377536,ATSC4s
0.0063165417,B08_O-O_
0.006115563,R4m
0.0059050657,SPP
0.005757644,qnmax
0.0057358677,R7m
0.0056300056,TDB04i
0.005619933,R3s
0.0056081815,CATS2D_04_AL
0.0053229723,SHED_NL
0.0052846665,CATS2D_02_NL
0.005208441,CATS3D_00_AA
0.004925155,TDB05i
0.004906241,WHALES00_Rem
0.004848477,RDF100u
0.0045892205,R6u
0.004568995,SpPosA_B(p)
0.0043986123,F07_C-Cl_
0.00439016,RTs+
0.0042806254,R1s
0.004260078,SpMin2_Bh(s)
0.004098809,GATS8m
0.0040981956,P_VSA_MR_3
0.00406228,CATS2D_05_NL
0.0040439814,TDB10s
0.0039614122,Mor30s
0.0039511425,RDF100m
0.003908573,Mor02s
0.0038876503,GATS2s
0.0037958336,Q2
0.003717707,minsOH
0.003696877,R1u
0.003690913,CATS2D_01_DN
0.003688931,Mor23s
0.0036437435,CATS2D_06_AL
0.0035839514,SHED_AL
0.003580658,SpMax2_Bh(m)
0.0035242233,Mor20u
0.003504127,H8u
0.0034476272,WHALES60_Rem
0.003414917,P_VSA_LogP_6
0.0033934333,Mor29m
0.0033494064,E2m
0.0033493,Mor21m
0.0033010188,HATS6u
0.0032882136,RPCG
0.0032763917,VE3sign_Coulomb
0.0032674596,qpmax
0.0032480042,H8m
0.0032355578,J_G/D
0.0032264523,WHALES70_Rem
0.0031974711,E1m
0.0031805185,P_VSA_ppp_cyc
0.0031747126,CATS2D_08_AA
0.0031727045,HATS6e
0.003155127,R2s+
0.0031436426,CATS3D_06_AA
0.003004802,Ds
0.0029613583,nR=Cs
0.0029601848,MATS3s
0.002953834,VE2_RG
0.0029346207,RDF070m
0.002886394,s1_size
0.0028242264,F08_O-O_
0.0027994479,WHALES50_Rem
0.0027792216,phLevel3
0.0027430882,H-047
0.0027396716,RDF020s
0.0026740974,s2_phSize
0.002582674,WHALES40_Rem
0.0025445016,HATS5p
0.0025152136,CATS2D_02_DA
0.0025092962,TDB07v
0.0025077157,HATS2m
0.0024698968,RDF090m
0.002468992,SssssC
0.0024552613,F04_C-Cl_
0.0024036097,B07_C-Cl_
0.0023698625,s2_phRelSize_2
0.0022769172,GATS8e
0.0022701237,E1s
0.002267923,SpMin2_Bh(m)
0.0022462257,B07_C-O_
0.002245241,ATSC7e
0.0022256942,E1v
0.0022221021,SM12_AEA(ri)
0.0021906486,Mor25s
0.0021576495,nBnz
0.0021541659,WHALES10_IR
0.002094779,Hypertens-50
0.0020872252,HATS0v
